year,quarter,state,district,registeredusers
2019,Q3,Uttarakhand,Uttarkashi,25151
2019,Q4,Uttarakhand,Dehradun,537026
2019,Q4,Uttarakhand,Haridwar,368737
2019,Q4,Uttarakhand,Udham Singh Nagar,319839
2019,Q4,Uttarakhand,Nainital,169212
2019,Q4,Uttarakhand,Pauri Garhwal,81489
2019,Q4,Uttarakhand,Tehri Garhwal,58542
2019,Q4,Uttarakhand,Almora,49664
2019,Q4,Uttarakhand,Pithoragarh,40980
2019,Q4,Uttarakhand,Chamoli,35948
2019,Q4,Uttarakhand,Uttarkashi,28653
2019,Q1,Uttarakhand,Dehradun,369578
2019,Q1,Uttarakhand,Haridwar,262411
2019,Q1,Uttarakhand,Udham Singh Nagar,238514
2019,Q1,Uttarakhand,Nainital,118824
2019,Q1,Uttarakhand,Pauri Garhwal,56173
2019,Q1,Uttarakhand,Tehri Garhwal,37689
2019,Q1,Uttarakhand,Almora,33092
2019,Q1,Uttarakhand,Pithoragarh,26621
2019,Q1,Uttarakhand,Chamoli,23274
2019,Q1,Uttarakhand,Uttarkashi,17873
2018,Q4,Uttarakhand,Dehradun,306969
2018,Q4,Uttarakhand,Haridwar,217634
2018,Q4,Uttarakhand,Udham Singh Nagar,200079
2018,Q4,Uttarakhand,Nainital,98591
2018,Q4,Uttarakhand,Pauri Garhwal,45898
2018,Q4,Uttarakhand,Tehri Garhwal,30089
2018,Q4,Uttarakhand,Almora,26282
2018,Q4,Uttarakhand,Pithoragarh,21378
2018,Q4,Uttarakhand,Chamoli,18391
2018,Q4,Uttarakhand,Uttarkashi,14114
2018,Q1,Uttarakhand,Dehradun,147998
2018,Q1,Uttarakhand,Haridwar,104823
2018,Q1,Uttarakhand,Udham Singh Nagar,100236
2018,Q1,Uttarakhand,Nainital,49083
2018,Q1,Uttarakhand,Pauri Garhwal,20425
2018,Q1,Uttarakhand,Tehri Garhwal,13030
2018,Q1,Uttarakhand,Almora,11367
2018,Q1,Uttarakhand,Pithoragarh,8836
2018,Q1,Uttarakhand,Chamoli,7493
2018,Q1,Uttarakhand,Uttarkashi,5816
2018,Q2,Uttarakhand,Dehradun,198296
2018,Q2,Uttarakhand,Haridwar,140718
2018,Q2,Uttarakhand,Udham Singh Nagar,132549
2018,Q2,Uttarakhand,Nainital,65142
2018,Q2,Uttarakhand,Pauri Garhwal,28153
2018,Q2,Uttarakhand,Tehri Garhwal,18021
2018,Q2,Uttarakhand,Almora,15473
2018,Q2,Uttarakhand,Pithoragarh,12486
2018,Q2,Uttarakhand,Chamoli,10502
2018,Q2,Uttarakhand,Uttarkashi,8227
2018,Q3,Uttarakhand,Dehradun,246477
2018,Q3,Uttarakhand,Haridwar,174526
