year,quarter,state,district,count,amount
2023,Q4,Tamil Nadu,Thanjavur,1407,2075531.0
2023,Q4,Tamil Nadu,Madurai,4414,5508470.0
2023,Q4,Tamil Nadu,Tiruvannamalai,1036,1430550.0
2023,Q4,Tamil Nadu,Salem,3180,4420307.0
2023,Q4,Tamil Nadu,Nagapattinam,854,1134183.0
2023,Q4,Tamil Nadu,Tirupathur,669,1068817.0
2023,Q4,Tamil Nadu,Ariyalur,372,464685.0
2023,Q4,Tamil Nadu,Chennai,18144,19953865.0
2023,Q4,Tamil Nadu,The Nilgiris,718,1517410.0
2023,Q4,Tamil Nadu,Erode,2404,3568004.0
2023,Q4,Tamil Nadu,Karur,707,1047957.0
2023,Q4,Tamil Nadu,Kallakkurichi,472,672872.0
2023,Q4,Tamil Nadu,Viluppuram,1284,1936817.0
2023,Q4,Tamil Nadu,Pudukkottai,588,917795.0
2023,Q4,Tamil Nadu,Perambalur,236,323301.0
2023,Q4,Tamil Nadu,Coimbatore,11552,16411541.0
2023,Q4,Tamil Nadu,Virudhunagar,925,1311831.0
